Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
"November 13, 2013",KORS,Michael Kors,NYX,NYSE Euronext,ICE Exchange acquired NYSE Euronext[136],,,
"October 29, 2013",RIG,Transocean,DELL,"Dell, Inc.",Founder Michael Dell and Silver Lake Partners acquired Dell.[137],,,
"September 20, 2013",VRTX,Vertex Pharmaceuticals,AMD,Advanced Micro Devices,Market capitalization changes[138],,,
"September 20, 2013",AME,Ametek,SAI,SAIC,Market capitalization changes,,,
"September 10, 2013",DAL,Delta Air Lines,BMC,BMC Software,BMC taken private by consortium[139],,,
"July 8, 2013",NLSN,Nielsen Holdings,S,Sprint Nextel Corp.,Softbank consortium purchase results in public float below 50%[140],,,
"June 28, 2013",FOXA,21st Century Fox,APOL,Apollo Group Inc.,Apollo Group's market cap more representative of a mid-cap[141],,,
"June 21, 2013",ZTS,Zoetis,FHN,First Horizon,Zoetis spun off by Pfizer[142],,,
"June 6, 2013",GM,General Motors,HNZ,H. J. Heinz Company,HNZ acquired by consortium[143],,,
"May 23, 2013",KSU,Kansas City Southern,DF,Dean Foods,DF too small after spinoff of White Wave Foods[144],,,
"May 8, 2013",MAC,Macerich,CVH,Coventry Health Care,Acquired by Aetna (AET)[145],,,
"April 30, 2013",REGN,Regeneron Pharmaceuticals,PCS,MetroPCS,A majority of MetroPCS was acquired by T-Mobile[146],,,
"February 15, 2013",PVH,PVH Corp.,BIG,Big Lots Inc.,Market capitalization changes[147],,,
"December 31, 2012",ABBV,AbbVie,FII,Federated Investors,ABBV spun off from Abbott Labs (ABT)[148],,,
"December 21, 2012",DLPH,Delphi Automotive,TIE,Titanium Metals,TIE acquired by Precision Cast Parts (PCP)[149],,,
"December 11, 2012",GRMN,Garmin Ltd.,RRD,R.R. Donnelley,Market capitalization changes[150],,,
"December 3, 2012",DG,Dollar General,CBE,Cooper Industries,Acquired by Eaton Corp. (ETN)[151],,,
"October 10, 2012",PETM,"PetSmart, Inc.",SUN,Sunoco Inc.,Acquired by Energy Transfer Partners (ETP)[152],,,
"October 2, 2012",KRFT,Kraft Foods Group,ANR,Alpha Natural Resources,Kraft split into two companies[153],,,
"October 1, 2012",ADT,ADT Corp,LXK,Lexmark Int'l Inc,Tyco spun off ADT[154],,,
"October 1, 2012",PNR,Pentair Ltd.,DV,"DeVry, Inc.",Tyco spin-off merged w/Pentair[154],,,
"September 5, 2012",LYB,LyondellBasell,SHLD,Sears Holding Corporation,SHLD below public float threshold[155],,,
"July 31, 2012",ESV,Ensco plc (now Valaris plc,GR,Goodrich Corporation,Acquired by United Technologies (UTX)[156],,,
"July 2, 2012",STX,Seagate Technology,PGN,Progress Energy Inc,Acquired by Duke Energy (DUK)[157],,,
"June 29, 2012",MNST,Monster Beverage,SLE,Sara Lee Corp.,Split up of Sara Lee[158],,,
"June 5, 2012",LRCX,Lam Research,NVLS,Novellus Systems,Acquired by Lam Research (LRCX)[159],,,
"May 21, 2012",ALXN,Alexion Pharmaceuticals,MMI,Motorola Mobility,Acquired by Google (GOOG)[160],,,
"May 17, 2012",KMI,Kinder Morgan,EP,El Paso Corp.,Acquired by Kinder Morgan (KMI)[161],,,
"April 23, 2012",PSX,Phillips 66,SVU,Supervalu Inc.,ConocoPhillips spun off Phillips 66[162],,,
"April 3, 2012",FOSL,"Fossil, Inc.",MHS,Medco Health Solutions Inc.,Acquired by Express Scripts (ESRX)[163],,,
"March 13, 2012",CCI,Crown Castle International Corp.,CEG,Constellation Energy Group,Acquired by Exelon Corp. (EXC)[164],,,
"December 31, 2011",WPX,"WPX Energy, Inc.",CPWR,Compuware,Market capitalization changes[165],,,
"December 20, 2011",TRIP,TripAdvisor Inc.,TLAB,Tellabs Inc.,Expedia Inc. spun off TripAdvisor Inc.[166],,,
"December 16, 2011",BWA,BorgWarner Inc.,AKS,AK Steel Holding Corp.,Market capitalization changes[167],,,
"December 16, 2011",PRGO,Perrigo Co.,MWW,Monster Worldwide Inc.,Market capitalization changes,,,
"December 16, 2011",DLTR,Dollar Tree Inc.,WFR,MEMC Electronic Materials Inc.,Market capitalization changes,,,
"December 12, 2011",GAS,AGL Resources Inc.,GAS,Nicor Inc.,"Nicor acquired by AGL, which retained the GAS ticker.[168]",,,
"November 18, 2011",CBE,Cooper Industries,JNS,Janus Capital Group,Janus Capital Group's market capitalization is less than $1.2 billion,,,
"October 31, 2011",XYL,Xylem Inc.,ITT,ITT Corp.,Spun off from ITT Corp.[170],,,
"October 14, 2011",TEL,TE Connectivity Ltd.,CEPH,Cephalon Inc.,Acquired by Teva Pharmaceutical Industries (TEVA).[171],,,
"September 23, 2011",MOS,The Mosaic Company,NSM,National Semiconductor Corp.,Acquired by Texas Instruments (TXN).[172],,,
"July 5, 2011",ACN,Accenture plc,MI,Marshall & Iisley Corp.,Marshall & Iisley is being bought by Bank of Montreal[173],,,
"June 30, 2011",MPC,Marathon Petroleum Corp,RSH,RadioShack Corp.,Market capitalization adjustments.[174],,,
"June 1, 2011",ANR,"Alpha Natural Resources, Inc.",MEE,Massey Energy Company,Alpha Natural Resources is acquiring Massey Energy in a deal expected to be,,,
"April 27, 2011",CMG,Chipotle Mexican Grill,NOVL,"Novell, Inc.",Acquired by private equity firms.[176],,,
"April 1, 2011",BLK,BlackRock,GENZ,Genzyme Corp.,Acquired by Sanofi-aventis (SNY)[177],,,
"March 31, 2011",EW,Edwards Lifesciences,Q,Qwest Communications,Acquired by CenturyLink[178],,,
"February 28, 2011",COV,Covidien plc,MFE,McAfee Inc.,Acquired by Intel Corp. (INTC)[179],,,
"February 25, 2011",JOY,Joy Global Inc.,AYE,Allegheny Energy Inc.,Acquired by First Energy (FE).[180],,,
"December 17, 2010",CVC,Cablevision Systems Corp.,KG,King Pharmaceuticals Inc.,Acquired by Pfizer Inc. (PFE).[181],,,
"December 17, 2010",FFIV,F5 Networks Inc.,EK,Eastman Kodak Co.,Market Cap changes.[181],,,
"December 17, 2010",NFLX,Netflix Inc.,ODP,Office Depot Inc.,Market Cap changes.,,,
"December 17, 2010",NFX,Newfield Exploration,NYT,The New York Times Co.,Market Cap changes.,,,
"November 17, 2010",IR,Ingersoll-Rand plc,PTV,Pactiv Corp.,Reynolds Group Holding Ltd. acquired Pactiv.[182],,,
"August 26, 2010",TYC,Tyco International Ltd.,SII,Smith International Inc.,Acquired by Schlumberger Ltd. (SLB)[183],,,
"July 14, 2010",CB,Chubb Limited,MIL,Millipore Inc.,Acquired by Merck KGaA (MKGAY)[184],,,
"June 30, 2010",QEP,QEP Resources,STR,Questar Corp.,"Company split. QEP retained, but ticker changed.[185]",,,
"June 28, 2010",KMX,"CarMax, Inc.",XTO,XTO Energy Inc.,Acquired by ExxonMobil Inc. (XOM)[186],,,
"April 29, 2010",CERN,Cerner Corp.,BJS,BJ Services Company,Acquired by Baker Hughes Inc. (BHI)[187],,,
"February 26, 2010",HP,Helmerich & Payne,RX,IMS Health,Taken private[188],,,
"December 18, 2009",V,Visa Inc.,CIEN,Ciena,Market capitalization change.[189],,,
"December 18, 2009",MJN,Mead Johnson Nutrition,DYN,Dynegy,Market capitalization change.[189],,,
"December 18, 2009",CLF,Cliffs Natural Resources,KBH,KB Home,Market capitalization change.[189],,,
"December 18, 2009",SAIC,SAIC Inc.,CVG,Convergys,Market capitalization change.[189],,,
"November 3, 2009",PCLN,Priceline.com,SGP,Schering-Plough Corp.,Acquired by Merck & Co. (MRK)[190],,,
"September 28, 2009",ARG,Airgas Inc,CBE,Cooper Industries Ltd.,Redomesticated to Ireland[191],,,
"March 3, 2009",HRL,Hormel Foods,ACAS,American Capital,Capitalization rebalance.[192],,,
"March 3, 2009",VTR,Ventas Inc.,JNY,Jones Apparel Group,Capitalization rebalance.,,,
"December 31, 2008",OI,Owens-Illinois,WB,Wachovia Bank,Wachovia Bank acquired by Wells Fargo.[193],,,
"September 16, 2008",HRS,Harris Corporation,LEH,Lehman Brothers,Lehman Brothers bankruptcy.[194],,,
"September 12, 2008",CRM,Salesforce.com,FRE,Freddie Mac,Capitalization rebalance.[195],,,
"September 12, 2008",FAST,Fastenal,FNM,Fannie Mae,Capitalization rebalance.[195],,,
"June 10, 2008",LO,Lorillard Inc.,ABK,Ambac Financial,Market Value Decline[196],,,
"December 20, 2007",RRC,Range Resources,TRB,Tribune Co.,Taken private[197],,,
"December 13, 2007",GME,GameStop,DJ,Dow Jones,Acquired by News Corp.[198],,,
"October 26, 2007",JEC,Jacobs Engineering Group,AV,Avaya Inc.,Taken private[199],,,
"October 2, 2007",EXPE,"Expedia, Inc.",SLR,Solectron,Solectron acquired by Flextronics.[200],,,
"October 1, 2007",TDC,Teradata Corp.,NCR,NCR Corp.,Teradata spun off by NCR Corp.[200],,,
"September 27, 2007",TSO,Tesoro Corp.,MXIM,Maxim Integrated Products,MXIM delisted from NASDAQ exchange.[200],,,
"September 26, 2007",ICE,Intercontinental Exchange,FDC,First Data Corp.,FDC acquired by Kohlberg Kravis Roberts.[200],,,
"August 24, 2007",LUK,Leucadia National,KSE,KeySpan,Acquired by National Grid plc[201],,,
"March 30, 2007",KFT,Kraft Foods,TSG,Sabre Holdings,Taken Private[202],,,
"January 10, 2007",AVB,"AvalonBay Communities, Inc.",SBL,Symbol Technologies,Acquired by Motorola[203],,,
"June 2, 2006",JNPR,Juniper Networks,ABS,Albertsons,Albertsons acquired by SuperValu and CVS Corp.[204],,,
"July 1, 2005",STZ,Constellation Brands,GLK,Great Lakes Chemical,Acquired by Crompton Corp.[205],,,
"September 25, 2003",ESRX,Express Scripts,QTRN,Quintiles Transnational,Taken private[206],,,
"December 5, 2000",INTU,Intuit,BS,Bethlehem Steel,Market Cap changes.[207],,,
"December 5, 2000",SBL,Symbol Technologies,OI,Owens-Illinois,Market Cap changes.,,,
"December 5, 2000",AYE,Allegheny Energy,GRA,W.R. Grace,Market Cap changes.,,,
"December 5, 2000",ABK,Ambac Financial,CCK,Crown Holdings,Market Cap changes.,,,
"July 27, 2000",JDSU,JDS Uniphase,RAD,RiteAid,Market Cap change.[208],,,
"December 7, 1999",YHOO,Yahoo!,LDW,Laidlaw,Market Cap change.[209],,,
